Fine_name,Keywords,label1,label2
,carotid artery stenosis 0.02015610189419247,,
,carotid triangle 0.02005374114126409,,
,radial artery 0.019903886830936857,,
,,,
science1d98ae29-cc68-4835-a67b-acc500259edf,prokaryotic m\. rna 0.02659066388401617,,
,prokaryotic ribosome 0.026562824128536985,,
,eukaryotic m\. rna 0.02604951477671666,,
,ribosome 0.025984096883679815,,
,eukaryotic cell 0.02509178920447972,,
,guanine nucleotide 0.024894161935901632,,
,eukaryote 0.024891044875983648,,
,prokaryotic cell 0.02474816677636452,,
,nucleotide 0.024643752252208762,,
,eukaryotic ribosome 0.027694104971401526,,
,eukaryotic transcription 0.027506878960723707,,
,mitochondrial ribosome 0.02719648570691655,,
,rna-dependent rna polymerase 0.02691765069928736,,
,ribosome biogenesis 0.026854386270755294,,
,eukaryotic dna replication 0.02659664681490247,,
,prokaryotic small ribosomal subunit 0.02658830064734111,,
,rna splicing 0.026081025752344136,,
,rna polymerase 0.02587787276028466,,
,,,
,,,
science1d8097b2-e1fe-4100-a002-96f7a6dd8540,anterior pituitary gland 0.02206748974864093,,
,posterior pituitary gland 0.021538291186632145,,
,pituitary gland 0.02107746711310227,,
,anterior pituitary 0.0206684609932436,,
,anterior pituitary hormone 0.020246492198841476,,
,posterior pituitary 0.02016951043398154,,
,adrenal gland 0.01975888074832062,,
,endocrine gland 0.019535498764924622,,
,hypothalamus 0.01935885242495479,,
,endocrine gland neoplasm 0.04271261365398326,,
,multiple endocrine neoplasia 0.04069646786481365,,
,paraventricular nucleus of hypothalamus 0.03970628324494824,,
,lateral hypothalamus 0.03945993091520869,,
,ventromedial nucleus of the hypothalamus 0.03933928164026007,,
,,,
science1d48492b-5dd5-4048-83b2-0bbb5b73e725,kinematic formula 0.02553084456798743,,
,kinetic energy 0.024720929859179046,,
,initial velocity 0.02444076060140357,,
,kinematics equation 0.02413424463343757,,
,velocity 0.02408734531006568,,
,joule 0.022646394847054704,,
,particular force 0.021894794726195,,
,acceleration time displacement 0.021841523151379147,,
,acceleration 0.021785348658902477,,
,displacement 0.021779128258089826,,
,gravitational acceleration 0.019432000142820576,,
,radial velocity 0.019375328923430694,,
,turbulence kinetic energy 0.01909136292308826,,
,particle displacement 0.018937155162512275,,
,wien's displacement law 0.018722343019359405,,
,rotational energy 0.01865092661484244,,
,joule effect 0.018519120516624354,,
,equation of motion 0.018423601241991192,,
,angular velocity 0.018010336055117683,,
,,,
,,,
science1da42f23-53fc-4939-b2ab-a13b9ccb1874,white blood cell 0.021220147406117405,,
,red blood cell 0.02086850557631045,,
,blood vessel 0.020797594137249117,,
,blood cell 0.020527371660680242,,
,different white blood cell 0.02021909592393037,,
,blood vessel wall 0.019958941163417947,,
,clotting factor 0.019777451299556312,,
,clotting 0.018266668694222526,,
,nucleated red blood cell 0.03294173313575588,,
,blood vessel disorder 0.030768736637298802,,
,white blood cell differential 0.03068359485704433,,
,red blood cell index 0.030677450480241557,,
,washed red blood cell 0.029384253588762895,,
,,,
science1daf6198-70a6-4123-85e8-d9729fd5e8a3,wart 0.1094593711234266,,
,condyloma wart 0.10723166794392427,,
,hpv 0.10410015667962673,,
,single wart 0.10034023238728007,,
,human papilloma virus 0.09614058160241161,,
,multiple wart 0.09520380813759353,,
,medical term 0.0671215748206397,,
,acuminata 0.06046697477893706,,
,toe 0.048351894517985265,,
,groin 0.048156336637781835,,
,genital wart 0.03023483452097852,,
,squamous cell papilloma 0.028210662268877945,,
,periungual wart 0.027929885348545787,,
,plantar wart 0.02715187631968152,,
,shope papilloma virus 0.026984877145038784,,
,digitate wart 0.026555010173509894,,
,papilloma 0.026395864706560464,,
,flat wart 0.026329742122277327,,
,molluscum contagiosum 0.024632957053730982,,
,,,
science1e9da780-664c-4196-9e96-612f0573a0e7,coronary artery disease 0.00957835255332596,,
,coronary circulation 0.009524212164613724,,
,coronary vessel 1is 0.009471231998138966,,
,acute coronary syndrome 0.009398518109586862,,
,coronary heart disease 0.009274238285497219,,
,1is atherosclerosis 0.00925980404402223,,
,coronary syndrome 0.009217375746439297,,
,coronary artery 1to clamp 0.009197945611843394,,
,cardiovascular disease 0.008993369537701022,,
,atherosclerosis 0.008962915003398008,,
,management of acute coronary syndrome 0.04231665534387733,,
,coronary artery ectasia 0.04170567480735559,,
,coronary artery bypass surgery 0.039971654791538455,,
,right coronary artery 0.03852702471187248,,
,coronary thrombosis 0.038465864157453386,,
,coronary catheterization 0.03747333283641096,,
,atherosclerosis (journal) 0.03640196303021499,,
,coronary stent 0.036293921146135694,,
,,,
science1e1126b6-9ce0-4b68-a406-514d69eb990e,opposite force 0.019159459440922958,,
,gravitational force 0.01913802340407305,,
,opposite force- 0.018783294319262477,,
,second law- 0.016788078121492595,,
,particle 0.015910739307646214,,
,third law 0.01582510790995541,,
,enough force 0.01558719058388891,,
,friction 0.015425199984181893,,
,third law- 0.015345274877480233,,
,super high velocity 0.015073997463900148,,
,newton's law of motion 0.02937396955560539,,
,newton's law of universal gravitation 0.029224431482020873,,
,massless particle 0.027799352227689363,,
,centrifugal force 0.024385869127496438,,
,particle physic 0.02420496159119585,,
,lenz's law 0.02338780718820748,,
,gravitational acceleration 0.02315573174597577,,
,law of thermodynamics 0.02307542661442253,,
,kepler's law of planetary motion 0.023054502882251162,,
,second law of thermodynamics 0.023001053770710864,,
,,,
science9da4e4ea-f3c2-41f8-88ff-4adc9ff9eb70,right ventricle 0.017588673673595664,,
,new aorta 0.01706133958605421,,
,hypoplastic left heart syndrome 0.01701478097243365,,
,left ventricle 0.016721744795015522,,
,functional ventricle 0.016246968455844304,,
,pulmonary artery 0.01555983471511737,,
,aorta 0.015059320344533488,,
,venous return 0.01494371463824339,,
,systemic artery 0.014764270181523874,,
,pulmonary flow 0.01458547320718987,,
,ventricular septal defect 0.02161302276127461,,
,descending thoracic aorta 0.021539212488087132,,
,aortic arch 0.021506266696067877,,
,aortic dissection 0.02149155976613707,,
,hypoplastic right heart syndrome 0.021441534548906557,,
,overriding aorta 0.021022347223163405,,
,descending aorta 0.020777730486873962,,
,double outlet right ventricle 0.02071385232718941,,
,pulmonary shunt 0.020433426615502123,,
,,,
,,,
science9dc38392-301c-48d8-bbd5-4a1b81e9afc1,pi radius 0.018297758968806203,,
,angular velocity 0.017899953947247103,,
,pi r meter 0.01754865563259641,,
,angular velocity- 0.017501782374216047,,
,radian 0.01749937464654358,,
,pi radian 0.017408371049610225,,
,instantaneous angular velocity 0.017326571099652983,,
,angular velocity vector 0.017138756374188685,,
,second radian 0.01711379680320209,,
,angular velocity time 0.017084056477235602,,
,radian per second 0.04197291187052132,,
,constant angular velocity 0.03725372990719544,,
,constant linear velocity 0.03721832655090555,,
,areal velocity 0.032568472004356176,,
,angular acceleration 0.03204010613537107,,
,angular momentum 0.03193694574981649,,
,radian (disambiguation) 0.03129313244918123,,
,kinematics 0.030669148607451114,,
,,,
,,,
science9dd1c68c-763a-470d-9101-1907751f178e,convex lens 0.013663039879164559,,
,actual convex lens 0.013091968437439632,,
,magenta angle 0.012771251009388583,,
,focal point 0.011962825802184527,,
,convex mirror 0.01193804506133535,,
,parallel ray 0.011857332946270982,,
,focal length 1to 0.011708743465224589,,
,geometrical optic 0.027425784790132947,,
,pinhole camera model 0.027083244545719046,,
,self-portrait in a convex mirror 0.024545570666286293,,
,flange focal distance 0.024093228108544938,,
,history of photographic lens design 0.024083664266137193,,
,35 mm equivalent focal length 0.02392804897916624,,
,focus (optics) 0.02355579873758239,,
,perspective distortion (photography) 0.02345444544372595,,
,cmyk color model 0.022829484732849296,,
,hyperbola 0.02280733657562318,,
,,,
science9deae3d1-b3e3-47b0-8f97-60a45b6a86a9,reactant 0.024030379743132043,,
,chemical reaction 0.02287872822280474,,
,balanced equation 0.021890188973531764,,
,initial concentration 0.02166205878474049,,
,nitrogen dioxide 0.02114858497840642,,
,nitrogen dioxide form 0.02047084684502514,,
,chemistry 0.020186080085827885,,
,calculation 0.01999888988030794,,
,n2 0.019539162603415913,,
,equation 0.01952810633091123,,
,chemical kinetics 0.022505167502627006,,
,chemical equation 0.02075103133752285,,
,stoichiometry 0.020602804346571076,,
,acid–base titration 0.019938743234196244,,
,heat equation 0.019556576232386658,,
,chemical equilibrium 0.01954238770451905,,
,thermochemical equation 0.01932610626028009,,
,nitric acid 0.018781169077379017,,
,dilution (equation) 0.018755159099627484,,
,,,
science9df665a3-2955-4737-8092-80154789fe10,photosynthetic organism 0.03397142134370846,,
,eutrophication 0.031453379966304866,,
,fertilizer 0.030595069814453306,,
,algal bloom 0.029896742021925812,,
,biosphere 0.029273462167602935,,
,phosphate 0.028634094634817614,,
,potential eutrophication 0.027824838360378704,,
,algae 0.027219177162195497,,
,serious ecological thing 0.026780012556617133,,
,plant 0.026203970091155087,,
,cyanobacteria 0.01960538064369165,,
,symbiosis in lichen 0.01786245614902585,,
,nutrient pollution 0.017410486742246486,,
,trophic state index 0.01687184153219318,,
,photosynthesis 0.016850810681977392,,
,engro fertilizer 0.01681949300747974,,
,harmful algal bloom 0.016714976403996027,,
,plant reproduction 0.016632303665286723,,
,,,
science9e4ba180-553e-4a91-9ccb-756c8f30f975,inch machine screw 0.01170386315389079,,
,oak veneer plywood 0.011676005366461328,,
,oak veneer plywood piece 0.011603986923156312,,
,spiral drill bit 0.011567805067461839,,
,circular saw 0.011398471779159966,,
,machine screw 0.011212200729539266,,
,center pivot screw 0.011131000730944854,,
,drill bit 0.01106363404764883,,
,pvc 0.010876606298625786,,
,square tubular aluminum 0.010687611280890012,,
,automatic lathe 0.021463095551174677,,
,drilling rig 0.0192219986468867,,
,miter saw 0.019148394328492024,,
,carbide saw 0.019105139443659058,,
,pvc decking 0.01877849346772566,,
,rail drilling machine 0.018628071608931845,,
,annular cutter 0.018579865839167375,,
,hammer drill 0.018556736261458966,,
,molded plywood 0.018507639046898824,,
,archimedes' screw 0.018026542906884418,,
,,,
science15687021-2250-40df-a688-cfe4c2043b23,diffraction 0.01639291466357886,,
,half wavelength 0.016126318523877105,,
,double slit experiment 0.01604475485715348,,
,wavelength 0.015522792157631134,,
,dimension 0.014060746378798509,,
,double slit 0.01383729085690531,,
,big laser 0.013826315455787112,,
,top hole 0.013747151965293565,,
,wave interference 0.01364447587968113,,
,fraunhofer diffraction 0.02182082351030606,,
,electron diffraction 0.02117088062016472,,
,electron hole 0.02032225894550713,,
,fresnel diffraction 0.020053726836729485,,
,diffraction grating 0.020008550914793425,,
,diffraction spike 0.01963329848428316,,
,powder diffraction 0.01943571445925621,,
,wave–particle duality 0.01942281764813405,,
,coherence (physics) 0.019075551610695376,,
